;======VIPNET===
80.96.181.0 80.96.181.255
89.18.0.0 89.18.15.255
193.230.219.0 193.230.219.255
194.102.221.0 194.102.221.255
;======END===============
;======NON-RIPE-NCC-MANAGED-ADDRESS-BLOCK===
198.55.32.0 198.99.147.255
209.43.0.0 209.162.127.255
199.54.0.0 199.88.207.255
45.59.26.0 45.59.26.255
66.55.64.0 66.55.79.255
66.78.22.0 66.78.23.255
67.227.26.0 67.227.27.255
67.227.31.0 67.227.31.255
104.218.192.0 104.218.199.255
104.251.80.0 104.251.95.255
104.255.152.0 104.255.159.255
146.252.86.0 146.252.87.255
157.97.0.0 157.97.255.255
162.254.132.0 162.254.135.255
166.48.0.0 166.48.255.255
172.98.182.0 172.98.182.255
172.102.214.0 172.102.214.255
173.211.5.0 173.211.5.255
173.211.68.0 173.211.69.255
184.174.69.0 184.174.69.255
184.174.95.0 184.174.95.255
192.214.128.0 192.214.255.255
192.225.100.0 192.225.100.255
192.225.101.0 192.225.101.255
192.225.109.0 192.225.109.255
198.144.144.0 198.144.159.255
199.19.92.0 199.19.95.255
199.21.148.0 199.21.151.255
199.66.88.0 199.66.95.255
199.167.136.0 199.167.139.255
206.251.192.0 206.251.207.255
208.81.204.0 208.81.205.255
209.58.144.0 209.58.159.255
172.241.88.0 172.241.247.255
;======END===============
;======M247-LTD===
82.102.16.0 82.102.92.255
185.94.189.0 185.94.189.255
185.104.184.0 185.104.187.255
185.128.25.0 185.128.25.255
185.128.25.0 185.128.25.255
185.156.173.0 185.156.173.255
185.189.113.0 185.189.113.255
185.244.213.0 185.244.213.255
185.0.0.0 185.255.255.255
;======END===============
;======Redstation Limited===
31.3.224.0 31.3.255.255
5.152.192.0 5.152.223.255
37.220.0.0 37.220.31.255
37.157.240.0 37.157.247.255
77.245.64.0 77.245.79.255
79.143.80.0 79.143.83.255
80.84.48.0 80.84.63.255
80.243.176.0 80.243.191.255
81.94.192.0 81.94.207.255
82.102.8.0 82.102.15.255
88.150.128.0 88.150.255.255
109.73.64.0 109.73.79.255
109.200.0.0 109.200.31.255
149.3.0.0 149.3.255.255
176.227.192.0 176.227.223.255
185.5.0.0 185.5.3.255
185.20.96.0 185.20.99.255
188.227.160.0 188.227.191.255
;======END===============
;======AS53889===
8.29.120.0 8.29.127.255
23.27.240.0 23.27.240.255
23.232.146.0 23.232.146.255
23.232.157.0 23.232.157.255
23.232.174.0 23.232.174.255
23.247.143.0 23.247.143.255
23.247.146.0 23.247.146.255
23.247.148.0 23.247.148.255
23.247.169.0 23.247.169.255
23.247.171.0 23.247.171.255
23.247.192.0 23.247.193.255
23.247.198.0 23.247.198.255
23.247.232.0 23.247.232.255
;======END===============
87.208.0.0 87.215.255.255
77.28.0.0 77.29.255.255
;======Ocolire clasa ip CBS===
176.0.0.0 176.126.175.255 
176.126.192.1 176.222.255.255
176.223.64.1 176.223.113.255
176.223.115.1 176.225.255.255
;=========================
179.0.0.0 179.255.255.255
178.132.0.0 178.132.255.255
178.70.0.0 178.70.255.255
185.67.0.0 185.67.255.255
185.18.0.0 185.18.255.255
185.174.0.0 185.174.255.255
186.0.0.0 186.255.255.255
46.191.157.0 46.191.157.255
46.172.22.0 46.172.22.255
46.109.213.0 46.109.213.255
46.172.66.0 46.172.66.255
79.115.138.209 79.115.138.209
85.118.84.0 85.118.84.255
201.0.0.0 201.255.255.255
213.135.128.0 213.135.159.255
;=======Reclama Boti=======
191.0.0.0 191.255.255.255
5.233.0.0 5.233.45.255
;==========================
178.75.64.0 178.75.127.255
78.132.128.0 78.132.255.255
37.76.160.0 37.76.191.255
;===Magyar Telecom===
217.65.96.0 217.65.127.255
217.13.100.0 217.13.100.255
195.228.0.0 195.228.255.255
194.176.224.0 194.176.255.255
194.149.32.0 194.149.63.255
194.38.96.0 194.38.127.255
188.156.0.0 188.157.255.255
188.36.0.0 188.36.255.255
188.6.0.0 188.6.255.255
185.65.8.0 185.65.11.255
149.200.0.0 149.200.255.255
145.236.0.0 145.236.255.255
134.255.0.0 134.255.255.255
94.27.128.0 94.27.255.255
86.59.128.0 86.59.255.255
84.0.0.0 84.3.255.255
81.182.0.0 81.183.255.255
79.122.0.0 79.122.127.255
78.92.0.0 78.92.255.255
62.201.64.0 62.201.127.255
46.139.0.0 46.139.255.255
46.107.0.0 46.107.255.255
37.76.0.0 37.76.127.255
31.46.0.0 31.46.255.255
5.187.128.0 5.187.255.255
31.46.0.0 31.46.255.255
5.38.128.0 5.38.255.255
103.0.0.0 103.225.199.255
172.81.0.0 172.240.255.255
105.0.0.0 105.255.255.255
199.103.13.0 199.255.255.255
46.98.0.0 46.98.127.255
1.0.0.0 1.255.255.255
86.105.88.0 86.105.91.255
93.73.128.0 93.73.255.255178.70.6.233
