;Network DIGITAL CABLE SYSTEMS IP's RANGE LIST file
;==============================
;
;
;
;
;==============================
;===DIGITAL CABLE SYSTEMS SA===
;========= AS6910 =============
;==============================
;
;
;
;
;==============================
176.126.176.1 176.126.191.254
176.223.0.1 176.223.63.254
176.223.114.1 176.223.114.254
188.209.96.1 188.209.111.254
188.212.132.1 188.212.133.254
188.212.136.1 188.212.143.254
188.212.155.1 188.212.155.254
188.212.158.1 188.212.159.254
188.212.249.1 188.212.249.254
188.212.253.1 188.212.253.254
188.214.88.1 188.214.88.254
188.240.0.1 188.240.0.254
188.240.224.0 188.240.227.255
188.240.228.1 188.240.229.254
188.240.230.1 188.240.230.254
188.240.232.1 188.240.233.254
188.240.76.1 188.240.79.254
188.241.110.1 188.241.110.254
188.241.159.1 188.241.159.254
188.241.16.1 188.241.16.254
188.241.182.1 188.241.182.254
188.241.224.1 188.241.239.254
188.241.248.1 188.241.248.254
188.241.85.1 188.241.85.254
193.33.94.1 193.33.95.254
194.102.104.1 194.102.104.254
194.102.162.1 194.102.162.254
31.14.104.1	31.14.111.254
31.14.224.1	31.14.227.254
31.14.224.1	31.14.225.254
31.14.232.1	31.14.232.254
31.14.36.1 31.14.39.254
31.14.45.1 31.14.45.254
46.102.0.1 46.102.63.254
46.102.0.1 46.102.31.254
46.102.50.1	46.102.50.254
46.102.64.1	46.102.95.254
46.102.64.1	46.102.79.254
46.102.80.1	46.102.95.254
46.102.80.1	46.102.80.254
77.81.8.1 77.81.15.254
80.96.131.1	80.96.131.254
80.96.133.1	80.96.133.254
80.96.201.1	80.96.201.254
80.96.202.1	80.96.203.254
80.96.229.1	80.96.229.254
81.180.112.1 81.180.127.254
81.180.119.1 81.180.119.254
84.247.23.1	84.247.23.254
84.247.29.1	84.247.29.254
84.247.55.1	84.247.55.254
84.247.56.1	84.247.56.254
85.120.146.1 85.120.146.254
85.120.58.1	85.120.58.254
85.120.82.1	85.120.82.254
85.121.144.1 85.121.147.254
85.122.111.1 85.122.111.254
85.122.4.1 85.122.7.254
86.105.193.1 86.105.193.254
86.105.252.1 86.105.252.254
86.106.128.1 86.106.128.254
86.106.157.1 86.106.157.254
86.106.158.1 86.106.158.254
86.107.103.1 86.107.103.254
86.107.32.1	86.107.39.254
89.32.206.1	89.32.206.254
89.33.14.1 89.33.14.254
89.33.84.1 89.33.85.254
89.34.126.1	89.34.127.254
89.34.208.1	89.34.215.254
89.35.159.1	89.35.159.254
89.35.36.1 89.35.37.254
89.35.92.1 89.35.95.254
89.36.22.1 89.36.23.254
89.37.128.1	89.37.128.254
89.37.62.1 89.37.63.254
89.38.101.1	89.38.101.254
89.38.168.1	89.38.175.254
89.38.70.1 89.38.70.254
89.39.66.1 89.39.66.254
89.40.76.1 89.40.76.254
89.40.77.1 89.40.77.254
89.41.152.1	89.41.153.254
89.41.154.1	89.41.155.254
89.41.156.1	89.41.159.254
89.42.112.1	89.42.113.254
89.42.70.1 89.42.70.254
89.42.71.1 89.42.71.254
89.43.104.1	89.43.111.254
89.43.176.1	89.43.179.254
89.43.180.1	89.43.181.254
89.43.208.1	89.43.215.254
89.44.136.1	89.44.136.254
89.44.192.1	89.44.199.254
89.44.207.1	89.44.207.254
89.45.104.1	89.45.111.254
89.45.96.1 89.45.111.254
89.45.96.1 89.45.96.254
89.45.97.1 89.45.97.254
89.46.224.1 89.46.231.254
89.46.48.1 89.46.55.254
89.46.48.1 89.46.48.254
89.46.52.1 89.46.52.254
89.46.56.1 89.46.59.254
89.46.92.1 89.46.92.254
89.47.204.1	89.47.207.254
89.47.208.1	89.47.223.254
89.47.214.1	89.47.214.254
89.47.218.1	89.47.218.254
89.47.89.1 89.47.89.254
91.206.160.1 91.206.161.254
91.206.161.1 91.206.161.254
92.114.107.1 92.114.107.254
92.114.112.1 92.114.115.254
92.114.116.1 92.114.117.254
92.114.118.1 92.114.119.254
92.114.120.1 92.114.127.254
92.114.2.1 92.114.3.254
92.114.84.1 92.114.85.254
93.113.134.1 93.113.135.254
93.113.144.1 93.113.151.254
93.113.208.1 93.113.211.254
93.113.248.1 93.113.249.254
93.113.30.1	93.113.31.254
93.113.90.1	93.113.91.254
93.114.112.1 93.114.127.254
93.114.124.1 93.114.124.254
93.114.125.1 93.114.125.254
93.114.246.1 93.114.246.254
93.115.254.1 93.115.255.254
93.115.54.1	93.115.55.254
93.115.64.1	93.115.71.254
93.115.68.1	93.115.71.254
93.118.192.1 93.118.255.254
93.118.246.1 93.118.246.254
93.118.80.1 93.118.95.254
93.118.80.1 93.118.87.254
93.118.88.1 93.118.95.254
94.176.110.1 94.176.111.254
94.176.128.1 94.176.128.254
94.176.152.1 94.176.159.254
94.176.160.1 94.176.161.254
94.176.200.1 94.176.207.254
94.177.112.1 94.177.112.254
94.177.26.1	94.177.26.254
