;Network RomTelecom IP's RANGE LIST file
;==============================
;
;
;
;
;==============================
;=====Romtelecom IP's==========
;=====  AS9050 ================
;==============================
;
;
;
;
;==============================
109.100.0.1	109.100.255.254
109.101.0.1	109.101.255.254
109.102.0.1	109.102.255.254
109.103.0.1	109.103.255.254
109.96.0.1	109.96.255.254
109.97.0.1	109.97.255.254
109.98.0.1	109.98.255.254
109.99.0.1	109.99.255.254
109.99.184.1	109.99.184.254
109.99.185.1	109.99.185.254
109.99.189.1	109.99.189.254
128.0.58.1	128.0.58.254
128.0.59.1	128.0.59.254
128.0.60.1	128.0.60.254
128.0.61.1	128.0.61.254
128.0.62.1	128.0.62.254
128.0.63.1	128.0.63.254
176.223.180.1	176.223.180.254
176.223.182.1	176.223.183.254
188.208.135.1	188.208.135.254
188.211.27.1	188.211.27.254
188.211.30.1	188.211.30.254
188.211.31.1	188.211.31.254
188.212.124.1	188.212.125.254
188.212.251.1	188.212.251.254
188.215.5.1	188.215.5.254
188.229.116.1	188.229.116.254
188.240.213.1	188.240.213.254
188.240.64.1	188.240.67.254
188.241.126.1	188.241.126.254
188.241.128.1	188.241.128.254
188.241.143.1	188.241.143.254
188.241.15.1	188.241.15.254
188.241.213.1	188.241.213.254
188.241.216.1	188.241.217.254
188.241.58.1	188.241.58.254
188.241.70.1	188.241.70.254
188.241.87.1	188.241.87.254
193.230.152.1	193.230.152.254
193.231.100.1	193.231.100.254
193.231.102.1	193.231.102.254
193.231.104.1	193.231.104.254
193.231.105.1	193.231.105.254
193.231.106.1	193.231.106.254
193.231.107.1	193.231.107.254
193.231.240.1	193.231.240.254
193.231.84.1	193.231.84.254
194.153.238.1	194.153.238.254
217.115.208.1	217.115.223.254
217.19.6.1	217.19.6.254
31.14.102.1	31.14.102.254
31.14.17.1	31.14.17.254
31.14.216.1	31.14.217.254
31.14.218.1	31.14.218.254
31.14.233.1	31.14.233.254
31.14.236.1	31.14.237.254
31.14.254.1	31.14.254.254
31.14.64.1	31.14.64.254
31.14.9.1	31.14.9.254
37.156.244.1	37.156.244.254
37.156.35.1	37.156.35.254
46.102.155.1	46.102.155.254
46.102.170.1	46.102.171.254
46.51.105.1	46.51.105.254
46.51.33.1	46.51.33.254
46.51.34.1	46.51.34.254
46.51.37.1	46.51.37.254
46.51.38.1	46.51.38.254
77.81.190.1	77.81.190.254
77.81.75.1	77.81.75.254
77.81.88.1	77.81.88.254
80.96.110.1	80.96.110.254
80.96.127.1	80.96.127.254
80.96.244.1	80.96.244.254
80.96.246.1	80.96.246.254
80.96.251.1	80.96.251.254
80.96.35.1	80.96.35.254
80.97.192.1	80.97.255.254
81.180.147.1	81.180.147.254
81.181.135.1	81.181.135.254
81.181.244.1	81.181.244.254
84.243.64.1	84.243.127.254
84.247.20.1	84.247.20.254
84.247.29.1	84.247.29.254
84.247.38.1	84.247.38.254
84.247.39.1	84.247.39.254
84.247.55.1	84.247.55.254
84.247.56.1	84.247.56.254
84.247.57.1	84.247.57.254
85.120.144.1	85.120.144.254
85.120.150.1	85.120.150.254
85.120.155.1	85.120.155.254
85.120.169.1	85.120.169.254
85.120.171.1	85.120.171.254
85.120.192.1	85.120.199.254
85.120.223.1	85.120.223.254
85.120.234.1	85.120.234.254
85.120.65.1	85.120.65.254
85.120.69.1	85.120.69.254
85.120.81.1	85.120.81.254
85.120.85.1	85.120.85.254
85.120.99.1	85.120.99.254
85.121.150.1	85.121.150.254
85.121.151.1	85.121.151.254
85.121.16.1	85.121.16.254
85.121.218.1	85.121.218.254
85.121.3.1	85.121.3.254
85.121.36.1	85.121.37.254
85.121.58.1	85.121.58.254
85.122.144.1	85.122.151.254
85.122.84.1	85.122.85.254
85.204.192.1	85.204.192.254
85.204.70.1	85.204.70.254
85.204.72.1	85.204.72.254
85.204.75.1	85.204.75.254
86.104.209.1	86.104.209.254
86.104.64.1	86.104.64.254
86.104.65.1	86.104.65.254
86.105.151.1	86.105.151.254
86.105.224.1	86.105.224.254
86.106.119.1	86.106.119.254
86.107.184.1	86.107.184.254
86.107.21.1	86.107.21.254
86.107.31.1	86.107.31.254
86.107.44.1	86.107.45.254
86.107.53.1	86.107.53.254
86.107.77.1	86.107.77.254
86.34.0.1	86.35.255.254
86.34.0.1	86.34.255.254
86.35.0.1	86.35.7.254
86.35.10.1	86.35.10.254
86.35.12.1	86.35.12.254
86.35.128.1	86.35.255.254
86.35.13.1	86.35.13.254
86.35.14.1	86.35.14.254
86.35.15.1	86.35.15.254
86.35.16.1	86.35.31.254
86.35.32.1	86.35.63.254
86.35.64.1	86.35.127.254
86.35.9.1	86.35.9.254
89.120.0.1	89.120.255.254
89.121.0.1	89.121.255.254
89.121.0.1	89.121.63.254
89.121.128.1	89.121.255.254
89.121.64.1	89.121.127.254
89.122.0.1	89.122.255.254
89.123.0.1	89.123.255.254
89.123.0.1	89.123.127.254
89.123.128.1	89.123.255.254
89.32.128.1	89.32.128.254
89.32.129.1	89.32.129.254
89.32.200.1	89.32.200.254
89.32.205.1	89.32.205.254
89.33.15.1	89.33.15.2
