;Network RCS&RDS IP's RANGE LIST file
;==============================
;=======RCS & RDS IP ranges====
;===========  AS8708 ==========
;==============================
;==============================
213.157.160.0 213.157.191.255
212.93.128.0 212.93.159.255
212.54.96.0 212.54.127.255
188.24.0.0 188.27.255.255
86.120.0.0 86.127.255.255
84.232.128.0 84.232.255.255
82.137.0.0 82.137.63.255
82.76.0.0 82.79.255.255
81.196.0.0 81.196.255.255
81.18.64.0 81.18.95.255
5.2.128.0 5.2.255.255
5.12.0.0 5.15.255.255
62.231.64.0 62.231.127.255
79.112.0.0 79.119.255.255
