L 01/06/2021 - 00:28:47: Log file started (file "cstrike/addons/amxmodx/logs/CVARmenu.log") (game "cstrike") (amx "1.9.0.5271")
L 01/06/2021 - 00:28:47: [OFFICIAL] ADMIN UNU seteaza cvar sv_maxunlag = 0.1 .
L 01/06/2021 - 00:28:48: [OFFICIAL] ADMIN UNU seteaza cvar sv_maxunlag = 0.5 .
L 01/06/2021 - 00:28:50: [OFFICIAL] ADMIN UNU seteaza cvar sv_maxunlag = 1 .
L 01/06/2021 - 00:28:50: [OFFICIAL] ADMIN UNU seteaza cvar sv_maxunlag = 1.5 .
L 01/06/2021 - 01:11:39: [OFFICIAL] ADMIN blioshele seteaza cvar amx_maxjumps = 2 .
L 01/06/2021 - 01:11:49: [OFFICIAL] ADMIN blioshele seteaza cvar sv_timeout = 300 .
L 01/06/2021 - 01:11:49: [OFFICIAL] ADMIN blioshele seteaza cvar sv_timeout = 60 .
L 01/06/2021 - 01:11:49: [OFFICIAL] ADMIN blioshele seteaza cvar sv_timeout = 999 .
L 01/06/2021 - 11:55:27: [OFFICIAL] ADMIN fyzt1C seteaza cvar sv_restart = 3 .
L 01/06/2021 - 13:38:38: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 35 .
L 01/06/2021 - 13:38:38: [OFFICIAL] ADMIN fyzt1C seteaza cvar mp_timelimit = 0 .
L 01/06/2021 - 14:40:51: [OFFICIAL] ADMIN jucatoru seteaza cvar sv_restart = 3 .
L 01/06/2021 - 15:18:20: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_timelimit = 35 .
L 01/06/2021 - 16:38:24: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_freezetime = 5 .
L 01/06/2021 - 16:38:25: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_freezetime = 0 .
L 01/06/2021 - 17:45:08: [OFFICIAL] ADMIN SeBaN* seteaza cvar mp_freezetime = 2 .
L 01/06/2021 - 23:30:30: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 300 .
L 01/06/2021 - 23:30:30: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 60 .
L 01/06/2021 - 23:30:31: [OFFICIAL] ADMIN SeBaN* seteaza cvar sv_timeout = 999 .
L 01/06/2021 - 23:45:26: [OFFICIAL] ADMIN DaN'EllA seteaza cvar sv_timeout = 300 .
L 01/06/2021 - 23:45:26: [OFFICIAL] ADMIN DaN'EllA seteaza cvar sv_timeout = 60 .
L 01/06/2021 - 23:45:27: [OFFICIAL] ADMIN DaN'EllA seteaza cvar sv_timeout = 999 .
L 01/07/2021 - 10:42:57: [OFFICIAL] ADMIN bUbUkIsS:* seteaza cvar mp_timelimit = 25 .
